Room Number,Room Name,Token,QR Code URL
"307","Room 307","qr_307_l1m4n7o0p3q6","https://menu.theplazahoteledirne.com?token=qr_307_l1m4n7o0p3q6"
"308","Room 308","qr_308_r9s2t5u8v1w4","https://menu.theplazahoteledirne.com?token=qr_308_r9s2t5u8v1w4"
"309","Room 309","qr_309_x7y0z3a6b9c2","https://menu.theplazahoteledirne.com?token=qr_309_x7y0z3a6b9c2"
"310","Room 310","qr_310_d5e8f1g4h7i0","https://menu.theplazahoteledirne.com?token=qr_310_d5e8f1g4h7i0"
"311","Room 311","qr_311_j3k6l9m2n5o8","https://menu.theplazahoteledirne.com?token=qr_311_j3k6l9m2n5o8"
"312","Room 312","qr_312_p1q4r7s0t3u6","https://menu.theplazahoteledirne.com?token=qr_312_p1q4r7s0t3u6"
"401","Room 401","qr_401_v9w2x5y8z1a4","https://menu.theplazahoteledirne.com?token=qr_401_v9w2x5y8z1a4"
"402","Room 402","qr_402_b7c0d3e6f9g2","https://menu.theplazahoteledirne.com?token=qr_402_b7c0d3e6f9g2"
"403","Room 403","qr_403_h5i8j1k4l7m0","https://menu.theplazahoteledirne.com?token=qr_403_h5i8j1k4l7m0"
"404","Room 404","qr_404_n3o6p9q2r5s8","https://menu.theplazahoteledirne.com?token=qr_404_n3o6p9q2r5s8"
"405","Room 405","qr_405_t1u4v7w0x3y6","https://menu.theplazahoteledirne.com?token=qr_405_t1u4v7w0x3y6"
"406","Room 406","qr_406_z9a2b5c8d1e4","https://menu.theplazahoteledirne.com?token=qr_406_z9a2b5c8d1e4"
"407","Room 407","qr_407_f7g0h3i6j9k2","https://menu.theplazahoteledirne.com?token=qr_407_f7g0h3i6j9k2"
"408","Room 408","qr_408_l5m8n1o4p7q0","https://menu.theplazahoteledirne.com?token=qr_408_l5m8n1o4p7q0"
"409","Room 409","qr_409_r3s6t9u2v5w8","https://menu.theplazahoteledirne.com?token=qr_409_r3s6t9u2v5w8"
"410","Room 410","qr_410_x1y4z7a0b3c6","https://menu.theplazahoteledirne.com?token=qr_410_x1y4z7a0b3c6"
"411","Room 411","qr_411_d9e2f5g8h1i4","https://menu.theplazahoteledirne.com?token=qr_411_d9e2f5g8h1i4"
"412","Room 412","qr_412_j7k0l3m6n9o2","https://menu.theplazahoteledirne.com?token=qr_412_j7k0l3m6n9o2"
"EP1-Suit-31","EP1 Suite 31","qr_ep1suit31_z3a6b9c2d5e8","https://menu.theplazahoteledirne.com?token=qr_ep1suit31_z3a6b9c2d5e8"
"EP1-Suit-32","EP1 Suite 32","qr_ep1suit32_f1g4h7i0j3k6","https://menu.theplazahoteledirne.com?token=qr_ep1suit32_f1g4h7i0j3k6"
"EP1-Suit-33","EP1 Suite 33","qr_ep1suit33_l9m2n5o8p1q4","https://menu.theplazahoteledirne.com?token=qr_ep1suit33_l9m2n5o8p1q4"
"EP1-Suit-36","EP1 Suite 36","qr_ep1suit36_r7s0t3u6v9w2","https://menu.theplazahoteledirne.com?token=qr_ep1suit36_r7s0t3u6v9w2"
"L1","Room L1","qr_l1_a7b9c2d8e4f1","https://menu.theplazahoteledirne.com?token=qr_l1_a7b9c2d8e4f1"
"L2","Room L2","qr_l2_f3g6h9j2k5l8","https://menu.theplazahoteledirne.com?token=qr_l2_f3g6h9j2k5l8"
"L3","Room L3","qr_l3_m1n4p7q0r3s6","https://menu.theplazahoteledirne.com?token=qr_l3_m1n4p7q0r3s6"
"Suit-26","Suite 26","qr_suit26_p5q8r1s4t7u0","https://menu.theplazahoteledirne.com?token=qr_suit26_p5q8r1s4t7u0"
"Suit-28","Suite 28","qr_suit28_v3w6x9y2z5a8","https://menu.theplazahoteledirne.com?token=qr_suit28_v3w6x9y2z5a8"
"Suit-42","Suite 42","qr_suit42_b1c4d7e0f3g6","https://menu.theplazahoteledirne.com?token=qr_suit42_b1c4d7e0f3g6"
"Suit-44","Suite 44","qr_suit44_h9i2j5k8l1m4","https://menu.theplazahoteledirne.com?token=qr_suit44_h9i2j5k8l1m4"
"Suit-45","Suite 45","qr_suit45_n7o0p3q6r9s2","https://menu.theplazahoteledirne.com?token=qr_suit45_n7o0p3q6r9s2"
"Suit-46","Suite 46","qr_suit46_t5u8v1w4x7y0","https://menu.theplazahoteledirne.com?token=qr_suit46_t5u8v1w4x7y0"
